iteration,label
0,Citation Integration
1,Citation Integration
2,Citation Integration
3,Citation Integration
4,Cross-reference
5,Cross-reference
6,Cross-reference
7,Cross-reference
8,Cross-reference
9,Cross-reference
10,Cross-reference
11,Cross-reference
12,Cross-reference
13,Cross-reference
14,Cross-reference
15,Cross-reference
16,Cross-reference
17,Cross-reference
18,Cross-reference
19,Citation Integration
20,Citation Integration
21,Citation Integration
22,Citation Integration
23,Citation Integration
24,Citation Integration
25,Citation Integration
26,Citation Integration
27,Citation Integration
28,Citation Integration
29,Citation Integration
30,Cross-reference
31,Citation Integration
32,Cross-reference
33,Citation Integration
34,Citation Integration
35,Citation Integration
36,Citation Integration
37,Citation Integration
38,Cross-reference
39,Cross-reference
40,Cross-reference
41,Cross-reference
42,Citation Integration
43,Citation Integration
44,Citation Integration
45,Citation Integration
46,Citation Integration
47,Citation Integration
48,Citation Integration
49,Citation Integration
50,Cross-reference
51,Citation Integration
52,Citation Integration
53,Citation Integration
54,Citation Integration
55,Citation Integration
56,Citation Integration
57,Citation Integration
58,Citation Integration
59,Citation Integration
60,Citation Integration
61,Cross-reference
62,Citation Integration
63,Citation Integration
64,Citation Integration
65,Cross-reference
66,Citation Integration
67,Citation Integration
68,Citation Integration
69,Citation Integration
70,Citation Integration
71,Citation Integration
72,Citation Integration
73,Citation Integration
74,Citation Integration
75,Cross-reference
76,Cross-reference
77,Cross-reference
78,Cross-reference
79,Cross-reference
80,Cross-reference
81,Cross-reference
82,Cross-reference
83,Cross-reference
84,Cross-reference
85,Cross-reference
86,Cross-reference
87,Cross-reference
88,Cross-reference
89,Cross-reference
90,Cross-reference
91,Cross-reference
92,Cross-reference
93,Cross-reference
94,Cross-reference
95,Cross-reference
96,Cross-reference
97,Cross-reference
98,Cross-reference
99,Cross-reference
