iteration,label
0,Idea Generation
1,Idea Generation
2,Idea Generation
3,Idea Generation
4,Idea Generation
5,Idea Generation
6,Idea Generation
7,Idea Generation
8,Idea Generation
9,Idea Generation
10,Idea Generation
11,Idea Generation
12,Section Planning
13,Section Planning
14,Section Planning
15,Text Production
16,Object Insertion
17,Object Insertion
18,Object Insertion
19,Object Insertion
20,Object Insertion
21,Object Insertion
22,Object Insertion
23,Object Insertion
24,Object Insertion
25,Object Insertion
26,Object Insertion
27,Object Insertion
28,Object Insertion
29,Object Insertion
30,Object Insertion
31,Object Insertion
32,Object Insertion
33,Object Insertion
34,Object Insertion
35,Object Insertion
36,Idea Generation
37,Idea Generation
38,Visual Formatting
39,Visual Formatting
40,Visual Formatting
41,Visual Formatting
42,Visual Formatting
43,Visual Formatting
44,Structural
45,Idea Generation
46,Idea Generation
47,Idea Generation
48,Idea Generation
49,Idea Generation
50,Idea Generation
51,Idea Generation
52,Idea Generation
53,Idea Generation
54,Idea Generation
55,Idea Generation
56,Idea Generation
57,Idea Generation
58,Idea Generation
59,Idea Generation
60,Idea Generation
61,Idea Generation
62,Idea Generation
63,Idea Generation
64,Idea Generation
65,Idea Generation
66,Idea Generation
67,Idea Generation
68,Idea Generation
69,Idea Generation
70,Object Insertion
71,Object Insertion
72,Object Insertion
73,Object Insertion
74,Object Insertion
75,Object Insertion
76,Object Insertion
77,Object Insertion
78,Object Insertion
79,Object Insertion
80,Object Insertion
81,Object Insertion
82,Object Insertion
83,Object Insertion
84,Object Insertion
85,Object Insertion
86,Object Insertion
87,Object Insertion
88,Object Insertion
89,Object Insertion
90,Object Insertion
91,Object Insertion
92,Object Insertion
93,Object Insertion
94,Object Insertion
95,Object Insertion
96,Object Insertion
97,Object Insertion
98,Object Insertion
99,Object Insertion
100,Object Insertion
101,Object Insertion
102,Object Insertion
103,Object Insertion
104,Object Insertion
105,Object Insertion
106,Object Insertion
107,Object Insertion
108,Object Insertion
109,Object Insertion
110,Object Insertion
111,Object Insertion
112,Object Insertion
113,Object Insertion
114,Object Insertion
115,Object Insertion
116,Object Insertion
117,Object Insertion
118,Object Insertion
119,Object Insertion
120,Object Insertion
121,Object Insertion
122,Object Insertion
123,Object Insertion
124,Object Insertion
125,Object Insertion
126,Object Insertion
127,Object Insertion
128,Object Insertion
129,Object Insertion
130,Object Insertion
131,Object Insertion
132,Object Insertion
133,Object Insertion
134,Object Insertion
135,Object Insertion
136,Object Insertion
137,Object Insertion
138,Object Insertion
139,Object Insertion
140,Object Insertion
141,Object Insertion
142,Object Insertion
143,Object Insertion
144,Object Insertion
145,Object Insertion
146,Object Insertion
147,Visual Formatting
148,Visual Formatting
149,Visual Formatting
150,Visual Formatting
151,Visual Formatting
152,Visual Formatting
153,Visual Formatting
154,Visual Formatting
155,Visual Formatting
156,Visual Formatting
157,Visual Formatting
158,Visual Formatting
159,Idea Generation
160,Idea Generation
161,Idea Generation
162,Object Insertion
163,Object Insertion
164,Object Insertion
165,Object Insertion
166,Object Insertion
167,Object Insertion
168,Object Insertion
169,Object Insertion
170,Object Insertion
171,Object Insertion
172,Object Insertion
173,Object Insertion
174,Object Insertion
175,Object Insertion
176,Object Insertion
177,Object Insertion
178,Object Insertion
179,Object Insertion
180,Object Insertion
181,Object Insertion
182,Object Insertion
183,Object Insertion
184,Object Insertion
185,Object Insertion
186,Object Insertion
187,Object Insertion
188,Cross-reference
189,Cross-reference
190,Cross-reference
191,Cross-reference
192,Cross-reference
193,Cross-reference
194,Cross-reference
195,Cross-reference
196,Cross-reference
197,Object Insertion
198,Object Insertion
199,Object Insertion
200,Object Insertion
201,Object Insertion
202,Object Insertion
203,Object Insertion
204,Object Insertion
205,Object Insertion
206,Object Insertion
207,Object Insertion
208,Cross-reference
209,Section Planning
210,Section Planning
211,Section Planning
212,Section Planning
213,Section Planning
214,Section Planning
215,Section Planning
216,Section Planning
217,Section Planning
218,Section Planning
219,Section Planning
220,Section Planning
221,Section Planning
222,Section Planning
223,Section Planning
224,Section Planning
225,Section Planning
226,Object Insertion
227,Cross-reference
228,Object Insertion
229,Object Insertion
230,Object Insertion
231,Object Insertion
232,Object Insertion
233,Object Insertion
234,Cross-reference
235,Cross-reference
236,Cross-reference
237,Cross-reference
238,Cross-reference
239,Section Planning
240,Section Planning
241,Section Planning
242,Section Planning
243,Section Planning
244,Section Planning
245,Macro Insertion
246,Object Insertion
247,Object Insertion
248,Idea Generation
249,Idea Organization
250,Idea Organization
251,Idea Organization
252,Idea Organization
253,Idea Generation
254,Idea Generation
255,Idea Generation
256,Idea Generation
257,Idea Generation
258,Idea Generation
259,Idea Generation
260,Idea Generation
261,Idea Generation
262,Idea Generation
263,Idea Generation
264,Idea Generation
265,Idea Generation
266,Idea Generation
267,Idea Generation
268,Idea Generation
269,Idea Generation
270,Idea Generation
271,Idea Generation
272,Idea Organization
273,Idea Generation
274,Idea Generation
275,Idea Generation
276,Idea Generation
277,Idea Generation
278,Idea Generation
279,Idea Generation
280,Idea Generation
281,Idea Generation
282,Idea Generation
283,Idea Generation
284,Idea Generation
285,Idea Generation
286,Idea Generation
287,Idea Generation
288,Idea Generation
289,Idea Generation
290,Idea Generation
291,Idea Generation
292,Idea Generation
293,Idea Generation
294,Idea Organization
295,Idea Organization
296,Idea Organization
297,Idea Organization
298,Idea Generation
299,Idea Generation
300,Idea Generation
301,Idea Generation
302,Idea Generation
303,Idea Generation
304,Idea Generation
305,Idea Generation
306,Idea Generation
307,Idea Generation
308,Idea Generation
309,Idea Generation
310,Idea Generation
311,Idea Generation
312,Idea Generation
313,Idea Generation
314,Idea Generation
315,Coherence
316,Idea Generation
317,Idea Generation
318,Idea Generation
319,Idea Generation
320,Idea Generation
321,Idea Generation
322,Idea Generation
323,Idea Generation
324,Idea Generation
325,Idea Generation
326,Idea Generation
327,Idea Generation
328,Idea Generation
329,Idea Generation
330,Idea Generation
331,Idea Generation
332,Idea Generation
333,Idea Generation
334,Idea Generation
335,Idea Generation
336,Idea Generation
337,Idea Generation
338,Idea Generation
339,Idea Generation
340,Idea Generation
341,Idea Generation
342,Idea Generation
343,Text Production
344,Text Production
345,Text Production
346,Text Production
347,Text Production
348,Text Production
349,Text Production
350,Text Production
351,Text Production
352,Text Production
353,Text Production
354,Text Production
355,Text Production
356,Text Production
357,Text Production
358,Text Production
359,Text Production
360,Text Production
361,Text Production
362,Text Production
363,Text Production
364,Text Production
365,Text Production
366,Text Production
367,Text Production
368,Text Production
369,Text Production
370,Text Production
371,Text Production
372,Text Production
373,Text Production
374,Text Production
375,Text Production
376,Text Production
377,Text Production
378,Text Production
379,Text Production
380,Text Production
381,Text Production
382,Text Production
383,Text Production
384,Text Production
385,Text Production
386,Text Production
387,Text Production
388,Text Production
389,Text Production
390,Text Production
391,Text Production
392,Text Production
393,Text Production
394,Text Production
395,Text Production
396,Text Production
397,Text Production
398,Text Production
399,Text Production
400,Text Production
401,Text Production
402,Text Production
403,Text Production
404,Text Production
405,Text Production
406,Text Production
407,Text Production
408,Text Production
409,Text Production
410,Text Production
411,Text Production
412,Text Production
413,Text Production
414,Text Production
415,Text Production
416,Text Production
417,Text Production
418,Text Production
419,Text Production
420,Text Production
421,Text Production
422,Text Production
423,Text Production
424,Text Production
425,Text Production
426,Text Production
427,Text Production
428,Text Production
429,Text Production
430,Text Production
431,Text Production
432,Text Production
433,Text Production
434,Text Production
435,Text Production
436,Text Production
437,Text Production
438,Text Production
439,Text Production
440,Text Production
441,Text Production
442,Text Production
443,Text Production
444,Text Production
445,Text Production
446,Text Production
447,Text Production
448,Text Production
449,Text Production
450,Text Production
451,Text Production
452,Text Production
453,Text Production
454,Text Production
455,Text Production
456,Text Production
457,Text Production
458,Text Production
459,Text Production
460,Text Production
461,Text Production
462,Text Production
463,Text Production
464,Text Production
465,Text Production
466,Text Production
467,Text Production
468,Text Production
469,Text Production
470,Text Production
471,Text Production
472,Text Production
473,Text Production
474,Text Production
475,Text Production
476,Text Production
477,Text Production
478,Text Production
479,Text Production
480,Text Production
481,Text Production
482,Text Production
483,Text Production
484,Text Production
485,Text Production
486,Text Production
487,Text Production
488,Text Production
489,Text Production
490,Text Production
491,Coherence
492,Coherence
493,Citation Integration
494,Citation Integration
495,Citation Integration
496,Citation Integration
497,Citation Integration
498,Text Production
499,Text Production
500,Text Production
501,Text Production
502,Text Production
503,Text Production
504,Text Production
505,Text Production
506,Text Production
507,Text Production
508,Text Production
509,Text Production
510,Text Production
511,Text Production
512,Text Production
513,Text Production
514,Text Production
515,Text Production
516,Fluency
517,Text Production
518,Text Production
519,Text Production
520,Text Production
521,Text Production
522,Text Production
523,Text Production
524,Text Production
525,Text Production
526,Text Production
527,Text Production
528,Text Production
529,Text Production
530,Text Production
531,Text Production
532,Text Production
533,Text Production
534,Text Production
535,Text Production
536,Text Production
537,Text Production
538,Text Production
539,Text Production
540,Text Production
541,Text Production
542,Text Production
543,Text Production
544,Text Production
545,Text Production
546,Text Production
547,Text Production
548,Text Production
549,Text Production
550,Text Production
551,Text Production
552,Text Production
553,Text Production
554,Text Production
555,Text Production
556,Text Production
557,Text Production
558,Text Production
559,Text Production
560,Text Production
561,Text Production
562,Text Production
563,Text Production
564,Text Production
565,Text Production
566,Text Production
567,Text Production
568,Text Production
569,Text Production
570,Text Production
571,Text Production
572,Text Production
573,Text Production
574,Text Production
575,Text Production
576,Text Production
577,Text Production
578,Text Production
579,Text Production
580,Text Production
581,Text Production
582,Text Production
583,Text Production
584,Text Production
585,Text Production
586,Text Production
587,Text Production
588,Text Production
589,Text Production
590,Structural
591,Structural
592,Structural
593,Clarity
594,Clarity
595,Clarity
596,Clarity
597,Clarity
598,Clarity
599,Clarity
600,Clarity
601,Clarity
602,Clarity
603,Text Production
604,Text Production
605,Text Production
606,Text Production
607,Text Production
608,Citation Integration
609,Text Production
610,Text Production
611,Text Production
612,Text Production
613,Text Production
614,Text Production
615,Text Production
616,Text Production
617,Text Production
618,Text Production
619,Text Production
620,Text Production
621,Text Production
622,Text Production
623,Text Production
624,Text Production
625,Text Production
626,Text Production
627,Text Production
628,Text Production
629,Text Production
630,Text Production
631,Text Production
632,Text Production
633,Text Production
634,Text Production
635,Text Production
636,Text Production
637,Text Production
638,Text Production
639,Text Production
640,Text Production
641,Text Production
642,Text Production
643,Text Production
644,Text Production
645,Text Production
646,Text Production
647,Text Production
648,Clarity
649,Clarity
650,Text Production
651,Text Production
652,Text Production
653,Text Production
654,Text Production
655,Text Production
656,Text Production
657,Text Production
658,Text Production
659,Text Production
660,Text Production
661,Text Production
662,Text Production
663,Text Production
664,Text Production
