iteration,label
0,Text Production
1,Text Production
2,Text Production
3,Text Production
4,Text Production
5,Idea Generation
6,Text Production
7,Text Production
8,Text Production
9,Section Planning
10,Idea Generation
11,Text Production
12,Idea Generation
13,Text Production
14,Text Production
15,Text Production
16,Idea Generation
17,Text Production
18,Text Production
19,Text Production
20,Text Production
21,Text Production
22,Text Production
23,Text Production
24,Text Production
25,Idea Generation
26,Idea Generation
27,Text Production
28,Idea Generation
29,Text Production
30,Text Production
31,Text Production
32,Text Production
33,Text Production
34,Idea Generation
35,Text Production
36,Text Production
37,Text Production
38,Idea Generation
39,Text Production
40,Text Production
41,Idea Generation
42,Text Production
43,Text Production
44,Text Production
45,Idea Generation
46,Idea Generation
47,Idea Generation
48,Idea Generation
49,Text Production
50,Text Production
51,Text Production
52,Text Production
53,Text Production
54,Idea Generation
55,Text Production
56,Text Production
57,Idea Generation
58,Idea Organization
59,Idea Generation
60,Text Production
61,Idea Generation
62,Idea Generation
63,Idea Generation
64,Idea Generation
65,Text Production
66,Idea Generation
67,Text Production
68,Idea Generation
69,Text Production
70,Text Production
71,Idea Generation
72,Text Production
73,Idea Generation
74,Text Production
75,Idea Generation
76,Idea Generation
77,Idea Generation
78,Idea Generation
79,Text Production
80,Text Production
81,Text Production
82,Text Production
83,Text Production
84,Idea Generation
85,Text Production
86,Idea Generation
87,Idea Generation
88,Text Production
89,Text Production
90,Idea Generation
91,Text Production
92,Idea Generation
93,Text Production
94,Idea Generation
95,Idea Generation
96,Idea Organization
97,Text Production
98,Text Production
99,Text Production
