iteration,label
0,Linguistic Style
1,Coherence
2,Text Production
3,Text Production
4,Text Production
5,Text Production
6,Text Production
7,Text Production
8,Text Production
9,Text Production
10,Text Production
11,Text Production
12,Text Production
13,Text Production
14,Text Production
15,Text Production
16,Text Production
17,Text Production
18,Text Production
19,Text Production
20,Text Production
21,Text Production
22,Text Production
23,Text Production
24,Text Production
25,Text Production
26,Text Production
27,Text Production
28,Text Production
29,Text Production
30,Text Production
31,Text Production
32,Text Production
33,Text Production
34,Text Production
35,Text Production
36,Text Production
37,Text Production
38,Text Production
39,Text Production
40,Text Production
41,Text Production
42,Text Production
43,Text Production
44,Text Production
45,Text Production
46,Text Production
47,Text Production
48,Text Production
49,Text Production
50,Text Production
51,Text Production
52,Text Production
53,Text Production
54,Text Production
55,Text Production
56,Coherence
57,Clarity
58,Clarity
59,Text Production
60,Text Production
61,Text Production
62,Text Production
63,Text Production
64,Text Production
65,Text Production
66,Text Production
67,Text Production
68,Text Production
69,Text Production
70,Text Production
71,Text Production
72,Text Production
73,Text Production
74,Text Production
75,Text Production
76,Text Production
77,Text Production
78,Text Production
79,Text Production
80,Text Production
81,Linguistic Style
82,Scientific Accuracy
83,Text Production
84,Text Production
85,Text Production
86,Text Production
87,Text Production
88,Text Production
89,Text Production
90,Text Production
91,Object Insertion
92,Object Insertion
93,Coherence
94,Text Production
95,Text Production
96,Text Production
97,Text Production
98,Text Production
99,Text Production
100,Structural
101,Text Production
102,Text Production
103,Object Insertion
104,Object Insertion
105,Text Production
106,Object Insertion
107,Text Production
108,Object Insertion
109,Text Production
110,Text Production
111,Text Production
112,Text Production
113,Text Production
114,Text Production
115,Text Production
116,Object Insertion
117,Scientific Accuracy
118,Scientific Accuracy
119,Scientific Accuracy
120,Scientific Accuracy
121,Scientific Accuracy
122,Scientific Accuracy
123,Scientific Accuracy
124,Scientific Accuracy
125,Scientific Accuracy
126,Text Production
127,Text Production
128,Text Production
129,Text Production
130,Text Production
131,Text Production
132,Text Production
133,Text Production
134,Text Production
135,Text Production
136,Text Production
137,Text Production
138,Text Production
139,Text Production
140,Text Production
141,Text Production
142,Text Production
143,Text Production
144,Text Production
145,Text Production
146,Text Production
147,Text Production
148,Text Production
149,Text Production
150,Section Planning
151,Section Planning
152,Section Planning
153,Section Planning
154,Section Planning
155,Text Production
156,Text Production
157,Text Production
158,Text Production
159,Text Production
160,Text Production
161,Text Production
162,Text Production
163,Text Production
164,Text Production
165,Text Production
166,Text Production
167,Text Production
168,Text Production
169,Text Production
170,Text Production
171,Text Production
172,Text Production
173,Text Production
174,Text Production
175,Section Planning
176,Section Planning
177,Text Production
178,Text Production
179,Text Production
180,Text Production
181,Text Production
182,Text Production
183,Text Production
184,Text Production
185,Text Production
186,Text Production
187,Text Production
188,Text Production
189,Section Planning
190,Section Planning
191,Section Planning
192,Section Planning
193,Section Planning
194,Section Planning
195,Section Planning
196,Section Planning
197,Section Planning
198,Section Planning
199,Section Planning
200,Section Planning
201,Section Planning
202,Section Planning
203,Section Planning
204,Linguistic Style
205,Linguistic Style
206,Linguistic Style
207,Section Planning
208,Section Planning
209,Section Planning
210,Section Planning
211,Section Planning
212,Section Planning
213,Section Planning
214,Idea Generation
215,Idea Generation
216,Idea Generation
217,Idea Generation
218,Idea Generation
219,Idea Generation
220,Idea Generation
221,Idea Generation
222,Idea Generation
223,Idea Generation
224,Idea Generation
225,Idea Generation
226,Idea Generation
227,Idea Generation
228,Idea Generation
229,Idea Generation
230,Idea Generation
231,Idea Generation
232,Idea Generation
233,Idea Generation
234,Idea Generation
235,Idea Generation
236,Idea Generation
237,Idea Generation
238,Idea Generation
239,Idea Generation
240,Idea Generation
241,Idea Generation
242,Idea Generation
243,Idea Generation
244,Idea Generation
245,Idea Generation
246,Idea Generation
247,Idea Generation
248,Idea Generation
249,Idea Generation
250,Idea Generation
251,Idea Generation
252,Idea Generation
253,Idea Generation
254,Idea Generation
255,Idea Generation
256,Idea Generation
257,Object Insertion
258,Object Insertion
259,Object Insertion
260,Object Insertion
261,Object Insertion
262,Object Insertion
263,Object Insertion
264,Object Insertion
265,Object Insertion
266,Object Insertion
267,Object Insertion
268,Object Insertion
269,Object Insertion
270,Object Insertion
271,Object Insertion
272,Text Production
273,Text Production
274,Text Production
275,Text Production
276,Text Production
277,Text Production
278,Text Production
279,Text Production
280,Text Production
281,Text Production
282,Text Production
283,Text Production
284,Text Production
285,Text Production
286,Text Production
287,Text Production
288,Text Production
289,Text Production
290,Text Production
291,Text Production
292,Text Production
293,Text Production
294,Text Production
295,Text Production
296,Text Production
297,Text Production
298,Text Production
299,Text Production
300,Text Production
301,Text Production
302,Text Production
303,Text Production
304,Text Production
305,Text Production
306,Text Production
307,Text Production
308,Text Production
309,Text Production
310,Text Production
311,Text Production
312,Text Production
313,Text Production
314,Text Production
315,Text Production
316,Text Production
317,Text Production
318,Text Production
319,Text Production
320,Text Production
321,Text Production
322,Text Production
323,Text Production
324,Text Production
325,Text Production
326,Text Production
327,Text Production
328,Text Production
329,Text Production
330,Text Production
331,Text Production
332,Text Production
333,Text Production
334,Text Production
335,Text Production
336,Text Production
337,Text Production
338,Text Production
339,Text Production
340,Text Production
341,Text Production
342,Text Production
343,Text Production
344,Text Production
345,Text Production
346,Text Production
347,Text Production
348,Text Production
349,Text Production
350,Text Production
351,Text Production
352,Text Production
353,Text Production
354,Text Production
355,Text Production
356,Text Production
357,Text Production
358,Text Production
359,Section Planning
360,Cross-reference
361,Cross-reference
362,Cross-reference
363,Cross-reference
364,Text Production
365,Text Production
366,Text Production
367,Text Production
368,Text Production
369,Text Production
370,Text Production
371,Text Production
372,Text Production
373,Text Production
374,Text Production
375,Text Production
376,Text Production
377,Text Production
378,Coherence
379,Clarity
380,Clarity
381,Clarity
382,Clarity
383,Clarity
384,Clarity
385,Clarity
386,Scientific Accuracy
387,Scientific Accuracy
388,Scientific Accuracy
389,Scientific Accuracy
390,Scientific Accuracy
391,Scientific Accuracy
392,Scientific Accuracy
393,Scientific Accuracy
394,Scientific Accuracy
395,Scientific Accuracy
396,Coherence
397,Scientific Accuracy
398,Linguistic Style
399,Scientific Accuracy
400,Scientific Accuracy
401,Fluency
402,Text Production
403,Text Production
404,Text Production
405,Text Production
406,Text Production
407,Text Production
408,Text Production
409,Text Production
410,Text Production
411,Text Production
412,Text Production
413,Text Production
414,Text Production
415,Text Production
416,Text Production
417,Text Production
418,Text Production
419,Text Production
420,Text Production
421,Text Production
422,Text Production
423,Text Production
424,Text Production
425,Text Production
426,Text Production
427,Text Production
428,Text Production
429,Text Production
430,Text Production
431,Text Production
432,Text Production
433,Text Production
434,Text Production
435,Text Production
436,Text Production
437,Text Production
438,Text Production
439,Text Production
440,Text Production
441,Text Production
442,Text Production
443,Idea Generation
444,Idea Generation
445,Idea Generation
446,Idea Generation
447,Idea Generation
448,Idea Generation
449,Idea Generation
450,Idea Generation
451,Text Production
452,Text Production
453,Text Production
454,Text Production
455,Text Production
456,Text Production
457,Text Production
458,Visual Formatting
459,Visual Formatting
460,Visual Formatting
461,Visual Formatting
462,Visual Formatting
463,Visual Formatting
464,Visual Formatting
465,Visual Formatting
466,Visual Formatting
467,Visual Formatting
468,Visual Formatting
469,Visual Formatting
470,Visual Formatting
471,Visual Formatting
472,Visual Formatting
473,Visual Formatting
474,Object Insertion
475,Object Insertion
476,Object Insertion
477,Section Planning
478,Section Planning
479,Section Planning
480,Text Production
481,Text Production
482,Text Production
483,Text Production
484,Text Production
485,Text Production
486,Text Production
487,Text Production
488,Text Production
489,Text Production
490,Text Production
491,Text Production
492,Text Production
493,Text Production
494,Text Production
495,Text Production
496,Text Production
497,Text Production
498,Text Production
499,Text Production
500,Text Production
501,Text Production
502,Text Production
503,Text Production
504,Text Production
505,Structural
506,Structural
507,Structural
508,Structural
509,Structural
510,Structural
511,Object Insertion
512,Object Insertion
513,Text Production
514,Text Production
515,Text Production
516,Text Production
517,Text Production
518,Text Production
519,Text Production
520,Text Production
521,Text Production
522,Text Production
523,Text Production
524,Text Production
525,Text Production
526,Text Production
527,Text Production
528,Text Production
529,Text Production
530,Text Production
531,Text Production
532,Text Production
533,Text Production
534,Text Production
535,Text Production
536,Text Production
537,Text Production
538,Text Production
539,Text Production
540,Text Production
541,Text Production
542,Text Production
543,Text Production
544,Text Production
545,Text Production
546,Text Production
547,Text Production
548,Section Planning
549,Section Planning
550,Section Planning
551,Section Planning
552,Section Planning
553,Idea Generation
